LexToken(CLASS,'class',6,149)
LexToken(IDENTIFIER,'Student',6,155)
LexToken(LBRACE,'{',6,163)
LexToken(IDENTIFIER,'name',8,208)
LexToken(COLON,':',8,212)
LexToken(STRING_TYPE,'string',8,214)
LexToken(SEMICOLON,';',8,220)
LexToken(IDENTIFIER,'age',9,255)
LexToken(COLON,':',9,258)
LexToken(NUMBER_TYPE,'number',9,260)
LexToken(SEMICOLON,';',9,266)
LexToken(IDENTIFIER,'grades',10,300)
LexToken(COLON,':',10,306)
LexToken(NUMBER_TYPE,'number',10,308)
LexToken(LBRACKET,'[',10,314)
LexToken(RBRACKET,']',10,315)
LexToken(SEMICOLON,';',10,316)
LexToken(CONSTRUCTOR,'constructor',13,439)
LexToken(LPAREN,'(',13,450)
LexToken(IDENTIFIER,'name',13,451)
LexToken(COLON,':',13,455)
LexToken(STRING_TYPE,'string',13,457)
LexToken(COMMA,',',13,463)
LexToken(IDENTIFIER,'age',13,465)
LexToken(COLON,':',13,468)
LexToken(NUMBER_TYPE,'number',13,470)
LexToken(COMMA,',',13,476)
LexToken(IDENTIFIER,'grades',13,478)
LexToken(COLON,':',13,484)
LexToken(NUMBER_TYPE,'number',13,486)
LexToken(LBRACKET,'[',13,492)
LexToken(RBRACKET,']',13,493)
LexToken(RPAREN,')',13,494)
LexToken(LBRACE,'{',13,496)
LexToken(THIS,'this',14,506)
LexToken(DOT,'.',14,510)
LexToken(IDENTIFIER,'name',14,511)
LexToken(EQUALS,'=',14,516)
LexToken(IDENTIFIER,'name',14,518)
LexToken(SEMICOLON,';',14,522)
LexToken(THIS,'this',15,570)
LexToken(DOT,'.',15,574)
LexToken(IDENTIFIER,'age',15,575)
LexToken(EQUALS,'=',15,579)
LexToken(IDENTIFIER,'age',15,581)
LexToken(SEMICOLON,';',15,584)
LexToken(THIS,'this',16,632)
LexToken(DOT,'.',16,636)
LexToken(IDENTIFIER,'grades',16,637)
LexToken(EQUALS,'=',16,644)
LexToken(IDENTIFIER,'grades',16,646)
LexToken(SEMICOLON,';',16,652)
LexToken(RBRACE,'}',17,703)
LexToken(IDENTIFIER,'calculateAverage',20,772)
LexToken(LPAREN,'(',20,788)
LexToken(RPAREN,')',20,789)
LexToken(COLON,':',20,790)
LexToken(NUMBER_TYPE,'number',20,792)
LexToken(LBRACE,'{',20,799)
LexToken(LET,'let',21,809)
LexToken(IDENTIFIER,'sum',21,813)
LexToken(COLON,':',21,816)
LexToken(NUMBER_TYPE,'number',21,818)
LexToken(EQUALS,'=',21,825)
LexToken(NUMBER,0,21,827)
LexToken(SEMICOLON,';',21,828)
LexToken(FOR,'for',23,950)
