LexToken(CLASS,'class',6,153)
LexToken(IDENTIFIER,'Student',6,159)
LexToken(LBRACE,'{',6,167)
LexToken(IDENTIFIER,'name',8,212)
LexToken(COLON,':',8,216)
LexToken(IDENTIFIER,'string',8,218)
LexToken(SEMICOLON,';',8,224)
LexToken(IDENTIFIER,'age',9,259)
LexToken(COLON,':',9,262)
LexToken(IDENTIFIER,'number',9,264)
LexToken(SEMICOLON,';',9,270)
LexToken(IDENTIFIER,'grades',10,304)
LexToken(COLON,':',10,310)
LexToken(IDENTIFIER,'number',10,312)
LexToken(LBRACKET,'[',10,318)
LexToken(RBRACKET,']',10,319)
LexToken(SEMICOLON,';',10,320)
LexToken(CONSTRUCTOR,'constructor',13,443)
LexToken(LPAREN,'(',13,454)
LexToken(IDENTIFIER,'name',13,455)
LexToken(COLON,':',13,459)
LexToken(IDENTIFIER,'string',13,461)
LexToken(COMMA,',',13,467)
LexToken(IDENTIFIER,'age',13,469)
LexToken(COLON,':',13,472)
LexToken(IDENTIFIER,'number',13,474)
LexToken(COMMA,',',13,480)
LexToken(IDENTIFIER,'grades',13,482)
LexToken(COLON,':',13,488)
LexToken(IDENTIFIER,'number',13,490)
LexToken(LBRACKET,'[',13,496)
LexToken(RBRACKET,']',13,497)
LexToken(RPAREN,')',13,498)
LexToken(LBRACE,'{',13,500)
LexToken(THIS,'this',14,510)
LexToken(DOT,'.',14,514)
LexToken(IDENTIFIER,'name',14,515)
LexToken(EQUALS,'=',14,520)
LexToken(IDENTIFIER,'name',14,522)
LexToken(SEMICOLON,';',14,526)
LexToken(THIS,'this',15,574)
LexToken(DOT,'.',15,578)
LexToken(IDENTIFIER,'age',15,579)
LexToken(EQUALS,'=',15,583)
LexToken(IDENTIFIER,'age',15,585)
LexToken(SEMICOLON,';',15,588)
LexToken(THIS,'this',16,636)
LexToken(DOT,'.',16,640)
LexToken(IDENTIFIER,'grades',16,641)
LexToken(EQUALS,'=',16,648)
LexToken(IDENTIFIER,'grades',16,650)
LexToken(SEMICOLON,';',16,656)
LexToken(RBRACE,'}',17,707)
LexToken(IDENTIFIER,'calculateAverage',20,777)
LexToken(LPAREN,'(',20,793)
LexToken(RPAREN,')',20,794)
LexToken(COLON,':',20,795)
LexToken(IDENTIFIER,'number',20,797)
LexToken(LBRACE,'{',20,804)
LexToken(LET,'let',21,814)
LexToken(IDENTIFIER,'sum',21,818)
LexToken(COLON,':',21,821)
LexToken(IDENTIFIER,'number',21,823)
LexToken(EQUALS,'=',21,830)
LexToken(NUMBER,0,21,832)
LexToken(SEMICOLON,';',21,833)
LexToken(FOR,'for',23,955)
LexToken(LPAREN,'(',23,959)
LexToken(LET,'let',23,960)
LexToken(IDENTIFIER,'grade',23,964)
LexToken(IDENTIFIER,'of',23,970)
LexToken(THIS,'this',23,973)
LexToken(DOT,'.',23,977)
LexToken(IDENTIFIER,'grades',23,978)
LexToken(RPAREN,')',23,984)
LexToken(LBRACE,'{',23,986)
LexToken(IDENTIFIER,'sum',24,1000)
LexToken(PLUS,'+',24,1004)
LexToken(EQUALS,'=',24,1005)
LexToken(IDENTIFIER,'grade',24,1007)
LexToken(SEMICOLON,';',24,1012)
LexToken(RBRACE,'}',25,1022)
LexToken(RETURN,'return',27,1120)
LexToken(IDENTIFIER,'sum',27,1127)
LexToken(DIVIDE,'/',27,1131)
LexToken(THIS,'this',27,1133)
LexToken(DOT,'.',27,1137)
LexToken(IDENTIFIER,'grades',27,1138)
LexToken(DOT,'.',27,1144)
LexToken(IDENTIFIER,'length',27,1145)
LexToken(SEMICOLON,';',27,1151)
LexToken(RBRACE,'}',28,1157)
LexToken(IDENTIFIER,'isPassing',31,1219)
LexToken(LPAREN,'(',31,1228)
LexToken(RPAREN,')',31,1229)
LexToken(COLON,':',31,1230)
LexToken(BOOLEAN,'boolean',31,1232)
LexToken(LBRACE,'{',31,1240)
LexToken(RETURN,'return',33,1321)
LexToken(THIS,'this',33,1328)
LexToken(DOT,'.',33,1332)
LexToken(IDENTIFIER,'calculateAverage',33,1333)
LexToken(LPAREN,'(',33,1349)
LexToken(RPAREN,')',33,1350)
LexToken(GE,'>=',33,1352)
LexToken(NUMBER,7.0,33,1355)
LexToken(SEMICOLON,';',33,1358)
LexToken(RBRACE,'}',34,1364)
LexToken(RBRACE,'}',35,1366)
LexToken(FUNCTION,'function',38,1428)
LexToken(IDENTIFIER,'main',38,1437)
LexToken(LPAREN,'(',38,1441)
LexToken(RPAREN,')',38,1442)
LexToken(COLON,':',38,1443)
LexToken(VOID,'void',38,1445)
LexToken(LBRACE,'{',38,1450)
LexToken(LET,'let',40,1545)
LexToken(IDENTIFIER,'student1',40,1549)
LexToken(COLON,':',40,1557)
LexToken(IDENTIFIER,'Student',40,1559)
LexToken(EQUALS,'=',40,1567)
LexToken(IDENTIFIER,'new',40,1569)
LexToken(IDENTIFIER,'Student',40,1573)
LexToken(LPAREN,'(',40,1580)
LexToken(STRING,'Alice',40,1581)
LexToken(COMMA,',',40,1588)
LexToken(NUMBER,20,40,1590)
LexToken(COMMA,',',40,1592)
LexToken(LBRACKET,'[',40,1594)
LexToken(NUMBER,8,40,1595)
LexToken(COMMA,',',40,1596)
LexToken(NUMBER,9,40,1598)
LexToken(COMMA,',',40,1599)
LexToken(NUMBER,7,40,1601)
LexToken(COMMA,',',40,1602)
LexToken(NUMBER,10,40,1604)
LexToken(RBRACKET,']',40,1606)
LexToken(RPAREN,')',40,1607)
LexToken(SEMICOLON,';',40,1608)
LexToken(IDENTIFIER,'console',43,1661)
LexToken(DOT,'.',43,1668)
LexToken(IDENTIFIER,'log',43,1669)
LexToken(LPAREN,'(',43,1672)
LexToken(BACKTICK,'`',43,1673)
LexToken(IDENTIFIER,'Estudiante',43,1674)
LexToken(COLON,':',43,1684)
LexToken(DOLLAR,'$',43,1686)
LexToken(LBRACE,'{',43,1687)
LexToken(IDENTIFIER,'student1',43,1688)
LexToken(DOT,'.',43,1696)
LexToken(IDENTIFIER,'name',43,1697)
LexToken(RBRACE,'}',43,1701)
LexToken(BACKTICK,'`',43,1702)
LexToken(RPAREN,')',43,1703)
LexToken(SEMICOLON,';',43,1704)
LexToken(IDENTIFIER,'console',45,1774)
LexToken(DOT,'.',45,1781)
LexToken(IDENTIFIER,'log',45,1782)
LexToken(LPAREN,'(',45,1785)
LexToken(STRING,'Promedio:',45,1786)
LexToken(COMMA,',',45,1797)
LexToken(IDENTIFIER,'student1',45,1799)
LexToken(DOT,'.',45,1807)
LexToken(IDENTIFIER,'calculateAverage',45,1808)
LexToken(LPAREN,'(',45,1824)
LexToken(RPAREN,')',45,1825)
LexToken(RPAREN,')',45,1826)
LexToken(SEMICOLON,';',45,1827)
LexToken(IF,'if',48,1904)
LexToken(LPAREN,'(',48,1907)
LexToken(IDENTIFIER,'student1',48,1908)
LexToken(DOT,'.',48,1916)
LexToken(IDENTIFIER,'isPassing',48,1917)
LexToken(LPAREN,'(',48,1926)
LexToken(RPAREN,')',48,1927)
